no,시군구,동읍면,total,total_male,total_female,over_18age_total,over_18age_male,over_18age_female,over_65age_total,over_65age_male,over_65age_female
0,강서구,total,284670.0,73794.0,68541.0,112096.0,58265.0,53831.0,20714.0,9861.0,10853.0
1,강서구,대저1동,5814.0,3218.0,2596.0,5511.0,3071.0,2440.0,2362.0,1192.0,1170.0
2,강서구,대저2동,6520.0,3677.0,2843.0,5799.0,3286.0,2513.0,1855.0,902.0,953.0
3,강서구,강동동,5002.0,2634.0,2368.0,4502.0,2368.0,2134.0,1687.0,799.0,888.0
4,강서구,명지1동,54341.0,27274.0,27067.0,40141.0,20111.0,20030.0,4642.0,2194.0,2448.0
5,강서구,명지2동,30005.0,14981.0,15024.0,21913.0,10816.0,11097.0,2817.0,1323.0,1494.0
6,강서구,가락동,2123.0,1146.0,977.0,2061.0,1114.0,947.0,988.0,474.0,514.0
7,강서구,녹산동,34234.0,18587.0,15647.0,28096.0,15337.0,12759.0,4901.0,2285.0,2616.0
8,강서구,가덕도동,4296.0,2277.0,2019.0,4073.0,2162.0,1911.0,1462.0,692.0,770.0
9,남구,total,255597.0,124417.0,131180.0,224250.0,108294.0,115956.0,60131.0,25982.0,34149.0
10,남구,대연1동,15409.0,7793.0,7616.0,14577.0,7385.0,7192.0,3774.0,1591.0,2183.0
11,남구,대연3동,35619.0,17423.0,18196.0,30460.0,14705.0,15755.0,5023.0,2188.0,2835.0
12,남구,대연4동,13904.0,6744.0,7160.0,11967.0,5770.0,6197.0,3433.0,1451.0,1982.0
13,남구,대연5동,16519.0,7868.0,8651.0,14795.0,6947.0,7848.0,3766.0,1615.0,2151.0
14,남구,대연6동,14646.0,7033.0,7613.0,11859.0,5645.0,6214.0,2608.0,1147.0,1461.0
15,남구,용호1동,42452.0,20274.0,22178.0,36008.0,17039.0,18969.0,9330.0,4075.0,5255.0
16,남구,용호2동,19551.0,9443.0,10108.0,16561.0,7922.0,8639.0,4465.0,2012.0,2453.0
17,남구,용호3동,11108.0,5352.0,5756.0,10263.0,4905.0,5358.0,3734.0,1604.0,2130.0
18,남구,용호4동,7676.0,3663.0,4013.0,6936.0,3290.0,3646.0,2246.0,936.0,1310.0
19,남구,용당동,7763.0,3899.0,3864.0,6868.0,3439.0,3429.0,1937.0,890.0,1047.0
20,남구,감만1동,8198.0,4202.0,3996.0,7349.0,3767.0,3582.0,2234.0,1031.0,1203.0
21,남구,감만2동,6438.0,3159.0,3279.0,5958.0,2906.0,3052.0,2311.0,951.0,1360.0
22,남구,우암동,12112.0,5918.0,6194.0,11068.0,5350.0,5718.0,4099.0,1762.0,2337.0
23,남구,문현1동,10792.0,5286.0,5506.0,9652.0,4671.0,4981.0,2872.0,1212.0,1660.0
24,남구,문현2동,8381.0,4182.0,4199.0,7760.0,3848.0,3912.0,2148.0,915.0,1233.0
25,남구,문현3동,16246.0,7910.0,8336.0,14099.0,6812.0,7287.0,3615.0,1532.0,2083.0
26,남구,문현4동,8783.0,4268.0,4515.0,8070.0,3893.0,4177.0,2536.0,1070.0,1466.0
27,중구,total,81706.0,20210.0,20643.0,,,,,,
28,중구,중앙동,3682.0,1957.0,1725.0,,,,,,
29,중구,동광동,2758.0,1465.0,1293.0,,,,,,
30,중구,대청동,5846.0,2764.0,3082.0,,,,,,
31,중구,보수동,10591.0,5021.0,5570.0,,,,,,
32,중구,부평동,4562.0,2136.0,2426.0,,,,,,
33,중구,광복동,989.0,529.0,460.0,,,,,,
34,중구,남포동,1048.0,703.0,345.0,,,,,,
35,중구,영주제1동,4652.0,2405.0,2247.0,,,,,,
36,중구,영주제2동,6725.0,3230.0,3495.0,,,,,,
37,기장군,total,357916.0,88623.0,90335.0,,,,,,
38,기장군,기장읍,52215.0,25483.0,26732.0,,,,,,
39,기장군,장안읍,8853.0,4777.0,4076.0,,,,,,
40,기장군,정관읍,80523.0,39865.0,40658.0,,,,,,
41,기장군,일광읍,29674.0,14611.0,15063.0,,,,,,
41,기장군,철마면,7693.0,3887.0,3806.0,,,,,,
42,사상구,total,202062.0,101360.0,100702.0,196880.0,98653.0,98227.0,,,
43,사상구,삼락동,5189.0,2720.0,2469.0,4836.0,2548.0,2288.0,,,
44,사상구,모라1동,26303.0,13062.0,13241.0,23694.0,11738.0,11956.0,,,
