 구분 ,  세대수  ,  인구수(계)  ,  인구수(남)  ,  인구수(여)  ,  18세이상인구수(계)  ,  18세이상인구수(남)  ,  18세이상인구수(여)  ,  65세이상인구수(계)  ,  65세이상인구수(남)  ,  65세이상인구수(여)  ,  통  ,  반  ,  면적(제곱킬로미터)    ,   구성비(퍼센트) 
 대연1동 ,9454,15409,7793,7616,14577,7385,7192,3774,1591,2183,31,175,1,4
 대연3동 ,17971,35619,17423,18196,30460,14705,15755,5023,2188,2835,33,289,4,14
 대연4동 ,6342,13904,6744,7160,11967,5770,6197,3433,1451,1982,20,156,1,4
 대연5동 ,8464,16519,7868,8651,14795,6947,7848,3766,1615,2151,18,112,1,4
 대연6동 ,5823,14646,7033,7613,11859,5645,6214,2608,1147,1461,16,107,1,4
 용호1동 ,17164,42452,20274,22178,36008,17039,18969,9330,4075,5255,43,361,2,6
 용호2동 ,8139,19551,9443,10108,16561,7922,8639,4465,2012,2453,23,185,2,8
 용호3동 ,5524,11108,5352,5756,10263,4905,5358,3734,1604,2130,21,135,2,7
 용호4동 ,3660,7676,3663,4013,6936,3290,3646,2246,936,1310,14,90,2,6
 용 당 동 ,3458,7763,3899,3864,6868,3439,3429,1937,890,1047,14,84,4,14
 감만1동 ,3763,8198,4202,3996,7349,3767,3582,2234,1031,1203,26,181,3,10
 감만2동 ,3308,6438,3159,3279,5958,2906,3052,2311,951,1360,14,85,1,3
 우암동 ,5669,12112,5918,6194,11068,5350,5718,4099,1762,2337,29,219,1,5
 문현1동 ,4762,10792,5286,5506,9652,4671,4981,2872,1212,1660,19,129,1,3
 문현2동 ,5092,8381,4182,4199,7760,3848,3912,2148,915,1233,16,102,1,2
 문현3동 ,7030,16246,7910,8336,14099,6812,7287,3615,1532,2083,23,155,1,3
 문현4동 ,4331,8783,4268,4515,8070,3893,4177,2536,1070,1466,17,126,1,3
