행정기관,인구수(합계),인구수(남),인구수(여),구성비(%),남(%),여(%),성비,세대수,세대당인구
부산진구,359375,173709,185666,100,48.34,51.66,93.56,172561,2.08
부전제1동,15552,7823,7729,4.33,2.18,2.15,101.22,9807,1.59
부전제2동,9947,4995,4952,2.77,1.39,1.38,100.87,5518,1.8
연지동,20842,9844,10998,5.8,2.74,3.06,89.51,8670,2.4
초읍동,22431,10906,11525,6.24,3.03,3.21,94.63,10082,2.22
양정제1동,20540,9732,10808,5.72,2.71,3.01,90.04,9230,2.23
양정제2동,12976,5961,7015,3.61,1.66,1.95,84.98,7841,1.65
전포제1동,20927,10071,10856,5.82,2.8,3.02,92.77,11684,1.79
전포제2동,21101,9939,11162,5.87,2.77,3.11,89.04,11245,1.88
부암제1동,23009,11232,11777,6.4,3.13,3.28,95.37,9709,2.37
부암제3동,18011,8869,9142,5.01,2.47,2.54,97.01,7036,2.56
당감제1동,23900,11398,12502,6.65,3.17,3.48,91.17,10453,2.29
당감제2동,10333,4974,5359,2.88,1.38,1.49,92.82,4584,2.25
당감제4동,11757,5761,5996,3.27,1.6,1.67,96.08,5206,2.26
가야제1동,19989,9942,10047,5.56,2.77,2.8,98.95,10324,1.94
가야제2동,17199,8378,8821,4.79,2.33,2.45,94.98,7321,2.35
개금제1동,17202,8227,8975,4.79,2.29,2.5,91.67,8859,1.94
개금제2동,11357,5556,5801,3.16,1.55,1.61,95.78,5058,2.25
개금제3동,29547,14298,15249,8.22,3.98,4.24,93.76,12418,2.38
범천제1동,12046,5726,6320,3.35,1.59,1.76,90.6,7197,1.67
범천제2동,20709,10077,10632,5.76,2.8,2.96,94.78,10319,2.01
