구분 ,인구수(계) ,인구수(남),인구수(여),세대수 ,18세이상 인구수(계) ,18세이상 인구수(남) ,18세이상 인구수(여) ,65세이상 인구수(계) ,65세이상 인구수(남),65세이상 인구수(여),통(리)수 ,반수 ,면적(제곱킬로미터) ,통(리)평균-반수,통(리)평균-세대수,반평균-세대수
구포1동,15224,7634,7590,8005,13883,6968,6915,3817,1749,2068,24,109,1.15,5,336,74
구포2동,23513,12009,11504,11524,21326,10869,10457,5542,2600,2942,34,170,2.91,5,339,68
구포3동,17982,9207,8775,8924,16517,8439,8078,4384,2031,2353,30,136,1.47,5,300,66
금곡동,35206,16956,18250,17697,31768,15198,16570,9942,4249,5693,38,219,8.12,6,467,81
화명1동,39509,19290,20219,14267,32984,15993,16991,5725,2785,2940,27,140,4.73,5,531,102
화명2동,17125,8286,8839,7289,14882,7131,7751,3354,1488,1866,15,87,5.03,6,487,84
화명3동,28183,13739,14444,10696,23616,11374,12242,4595,2050,2545,16,94,2.48,6,670,114
덕천1동,13329,6523,6806,7257,12250,5973,6277,3696,1582,2114,19,95,1.44,5,360,72
덕천2동,11007,5496,5511,6476,10365,5166,5199,3159,1362,1797,19,100,2.32,5,343,65
덕천3동,9823,4768,5055,5401,9094,4399,4695,3055,1256,1799,17,85,0.95,5,323,65
만덕1동,16201,7895,8306,7086,14040,6783,7257,3465,1624,1841,17,75,4.76,4,418,95
만덕2동,26293,12813,13480,11081,22538,10861,11677,5697,2613,3084,28,145,2.25,5,397,77
만덕3동,17429,8390,9039,7289,15604,7449,8155,4545,2081,2464,15,88,1.76,6,488,83
